,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
134,large,ssd,high,zfile,7,74.66451692581177,10.691007852554321,14.254273891448975,0.960672700625
135,large,sd,low,bloscpack,1,6.7821409702301025,0.4900360107421875,5.031583070755005,0.060875708125
136,large,sd,low,bloscpack,3,4.858102083206177,0.48154783248901367,3.5231680870056152,0.042616500625
137,large,sd,low,bloscpack,7,1.7422959804534912,0.48953795433044434,1.1126708984375,0.012993349375
138,large,sd,low,bloscpack,9,1.3699779510498047,0.4930140972137451,0.8120059967041016,0.009234625
139,large,sd,low,npz,1,136.1671290397644,6.781589031219482,19.714579105377197,0.159559411875
140,large,sd,low,npy,0,106.00719594955444,0.5449409484863281,82.07172393798828,1.00000005
141,large,sd,low,zfile,1,34.71555995941162,5.182076930999756,18.04196310043335,0.159273688125
142,large,sd,low,zfile,3,47.840351819992065,5.184556007385254,18.099435091018677,0.15926239375
143,large,sd,low,zfile,7,209.90053796768188,5.183581829071045,18.07183003425598,0.15955269
144,large,sd,medium,bloscpack,1,93.39466595649719,0.7697148323059082,72.18022584915161,0.87962168875
145,large,sd,medium,bloscpack,3,93.53949213027954,0.7723720073699951,72.23953604698181,0.879473436875
146,large,sd,medium,bloscpack,7,49.22363018989563,2.0713021755218506,35.51031184196472,0.433483891875
147,large,sd,medium,bloscpack,9,45.051345109939575,2.2528891563415527,31.82824397087097,0.388581700625
148,large,sd,medium,npz,1,32.75376105308533,6.725882053375244,18.658468008041382,0.149751391875
149,large,sd,medium,npy,0,105.7795159816742,0.5430190563201904,82.09773397445679,1.00000005
150,large,sd,medium,zfile,1,45.88831400871277,6.214355945587158,28.046730041503906,0.26811129125
151,large,sd,medium,zfile,3,45.684531927108765,6.097716808319092,27.574772119522095,0.26360339125
152,large,sd,medium,zfile,7,38.86996603012085,4.814072847366333,16.989629983901978,0.14975948625
153,large,sd,high,bloscpack,1,105.98528909683228,0.7019021511077881,82.12974715232849,1.000015765
154,large,sd,high,bloscpack,3,106.50240802764893,0.7101950645446777,82.10304689407349,1.000015765
155,large,sd,high,bloscpack,7,104.37735605239868,1.3338639736175537,79.28276300430298,0.965824414375
156,large,sd,high,bloscpack,9,104.69223093986511,1.405777931213379,79.25717902183533,0.965639695625
157,large,sd,high,npz,1,121.87314009666443,12.826603174209595,91.2271831035614,0.960670984375
158,large,sd,high,npy,0,105.58570313453674,0.5454599857330322,82.11906719207764,1.00000005
159,large,sd,high,zfile,1,164.3690688610077,10.925120115280151,89.63416409492493,0.964316311875
160,large,sd,high,zfile,3,167.61059188842773,10.856081008911133,89.5815680027008,0.96423171375
161,large,sd,high,zfile,7,169.75974321365356,10.71441388130188,89.10212993621826,0.960669740625
